Female name,n,Male name,n,Surname,n
Anna,101573,Lars,85511,Andersson,228264
Eva,86491,Mikael,79728,Johansson,227104
Maria,85152,Anders,77374,Karlsson,202331
Karin,66739,Johan,74815,Nilsson,155686
Kristina,58136,Erik,66550,Eriksson,136533
Sara,57813,Per,65532,Larsson,114698
Lena,57182,Karl,62757,Olsson,103689
Emma,50669,Peter,62363,Persson,98019
Kerstin,49346,Thomas,60788,Svensson,91741
Ingrid,41721,Jan,59365,Gustafsson,89534
Marie,41184,Daniel,57423,Pettersson,87169
Malin,40489,Fredrik,54526,Jonsson,68358
Jenny,39916,Hans,46640,Jansson,45844
Annika,38361,Andreas,45520,Hansson,40517
Hanna,38351,Stefan,44996,Bengtsson,31649
Linda,38344,Mohamed,44057,Jönsson,28874
Birgitta,37816,Mats,43437,Lindberg,27119
Susanne,37716,Marcus,42779,Jakobsson,25669
Elin,37586,Mattias,41803,Magnusson,25109
Monica,37559,Magnus,41635,Olofsson,24493
Inger,35153,Bengt,41194,Lindström,24321
Sofia,35059,Jonas,41075,Lindqvist,22461
Johanna,34322,Oskar,40266,Lindgren,22250
Carina,32962,Alexander,39857,Axelsson,21671
Elisabeth,31998,Niklas,39742,Berg,21525
Ulla,31942,Martin,39155,Bergström,20739
Julia,31005,Bo,38732,Lundberg,20665
Katarina,29520,Nils,37053,Lind,20305
Linnéa,29359,Patrik,35331,Lundgren,19995
Emelie,28809,Viktor,35269,Lundqvist,19617
Ida,28743,Björn,35096,Mattsson,18926
Helena,27596,Leif,34051,Berglund,18706
Camilla,27191,David,33223,Fredriksson,17691
Åsa,27148,Sven,33045,Sandberg,17406
Anette,27125,Henrik,32740,Henriksson,16908
Sandra,26224,Filip,32493,Forsberg,16335
Gunilla,26002,Joakim,32351,Sjöberg,16187
Anita,25726,Christer,32110,Wallin,15831
Marianne,25480,Ulf,32086,Ali,15473
Margareta,25293,Emil,31792,Engström,15320
Anneli,24571,Simon,31035,Mohamed,15253
Amanda,24435,Christoffer,29681,Eklund,15097
Maja,24425,Anton,28591,Danielsson,14898
Ann,24287,Gustav,27935,Lundin,14755
Therese,24170,Robert,27924,Håkansson,14545
Josefin,23817,Tommy,27778,Björk,14200
Cecilia,23502,Kjell,27735,Bergman,14067
Jessica,23290,Christian,27633,Gunnarsson,14017
Helen,23140,William,26960,Holm,13897
Lisa,22288,Lucas,26019,Wikström,13738
Caroline,21936,Rickard,25936,Samuelsson,13643
Matilda,21867,Håkan,25690,Isaksson,13474
Barbro,21784,Göran,25059,Fransson,13432
Frida,21758,Rolf,24195,Bergqvist,13254
Ulrika,21469,Adam,23937,Nyström,13051
Elsa,21266,Lennart,23767,Holmberg,12892
Siv,21223,Jakob,23335,Arvidsson,12862
Alice,21104,Jonathan,23259,Löfgren,12655
Madeleine,19377,Robin,23066,Söderberg,12435
Rebecca,19367,Sebastian,22892,Nyberg,12368
Klara,18719,Tobias,22195,Blomqvist,12226
Ebba,18716,Stig,22101,Claesson,12067
Sofie,18324,Elias,21957,Nordström,11969
Gun,18317,John,21743,Mårtensson,11717
Agneta,18099,Axel,20250,Lundström,11527
Berit,17877,Linus,19985,Ahmed,11431
Isabelle,17742,Kent,19693,Viklund,11287
Lina,17216,Oliver,19026,Björklund,11187
Pia,17074,Roger,18712,Eliasson,11187
Wilma,16840,Hugo,18357,Pålsson,11112
Ella,16255,Isak,18233,Hassan,11061
Yvonne,16136,Claes,17669,Berggren,11016
Louise,15915,Jesper,17520,Sandström,10676
Ellen,15823,Albin,16768,Lund,10526
Britt,15788,Jörgen,16491,Nordin,10514
Astrid,15771,Rasmus,16372,Ström,10299
Mona,15664,Ludvig,16091,Åberg,10283
Moa,15576,Jimmy,15823,Hermansson,10157
Nathalie,15383,Max,15806,Ekström,10136
Erika,15225,Ali,15742,Falk,10054
Alexandra,15197,Kenneth,15611,Holmgren,9966
Emilia,15100,Gunnar,15326,Dahlberg,9805
Viktoria,15098,Joel,15225,Hellström,9784
Ann-Christin,15085,Dennis,14732,Hedlund,9749
Olivia,15053,Johnny,14610,Sundberg,9696
Alva,14900,Josef,14260,Sjögren,9628
Agnes,14872,Olof,14120,Ek,9473
Felicia,14561,Åke,13910,Blom,9413
Ann-Marie,14351,Olle,13816,Abrahamsson,9310
Sonja,13734,Kurt,13727,Martinsson,9270
Britt-Marie,13411,Liam,13361,Öberg,9254
Pernilla,13173,Pontus,13342,Andreasson,9024
Gunnel,12943,Leo,13307,Strömberg,8930
Lovisa,12859,Kevin,12842,Månsson,8896
Charlotte,12750,Samuel,12587,Åkesson,8745
Linn,12539,Torbjörn,12460,Hansen,8673
Lisbeth,12352,Felix,12097,Norberg,8587
Nina,12335,Edvin,12084,Lindholm,8578
Rut,12203,Gabriel,11963,Dahl,8563
Mikaela,12186,Arvid,11923,Jonasson,8520