"HDI Rank","Country","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"Gender Inequality Index (GII)
null
Dimension: Gender
Definition: A composite measure reflecting inequality in achievement between women and men in three dimensions: reproductive health, empowerment and the labour market. See Technical note 4 at http://hdr.undp.org/sites/default/files/hdr2019_technical_notes.pdf for details on how the Gender Inequality Index is calculated.
Source: HDRO calculations based on data from maternal mortality ratio, adolescent birth rate, share of seats in parliament, population with at least some secondary education and labour force participation rate."
"170"," Afghanistan","..","","..","","0.674","","0.665","","0.654","","0.644","","0.633","","0.623","","0.614","","0.605","","0.590","","0.575",""
"69"," Albania","..","","0.380","","0.329","","0.269","","0.273","","0.273","","0.266","","0.261","","0.256","","0.249","","0.236","","0.234",""
"82"," Algeria","0.679","a","0.627","","0.561","","0.523","","0.515","","0.434","","0.432","","0.439","","0.442","","0.439","","0.447","","0.443",""
"149"," Angola","..","","..","","..","","..","","..","","..","","..","","0.577","","0.575","","0.572","","0.580","","0.578",""
"48"," Argentina","0.418","a","0.409","","0.371","","0.371","","0.368","","0.365","","0.365","","0.365","","..","","0.359","","0.355","","0.354",""
"81"," Armenia","0.474","a","0.468","","0.403","","0.345","","0.340","","0.319","","0.311","","0.305","","0.301","","0.300","","0.263","","0.259",""
"6"," Australia","0.180","a","0.160","","0.139","","0.138","","0.132","","0.128","","0.119","","0.116","","0.110","","0.107","","0.104","","0.103",""
"20"," Austria","0.186","a","0.150","","0.118","","0.111","","0.106","","0.102","","0.093","","0.090","","0.089","","0.086","","0.078","","0.073",""
"87"," Azerbaijan","..","","..","","0.325","","0.302","","0.303","","0.303","","0.309","","0.315","","0.310","","0.315","","0.318","","0.321",""
"60"," Bahamas","..","","0.387","","0.360","","0.386","","0.385","","0.383","","0.379","","0.379","","0.374","","0.372","","0.353","","0.353",""
"45"," Bahrain","..","","..","","0.325","","0.236","","0.222","","0.221","","0.215","","0.218","","0.226","","0.225","","0.223","","0.207",""
"135"," Bangladesh","0.708","a","0.680","","0.634","","0.588","","0.578","","0.570","","0.563","","0.555","","0.549","","0.547","","0.538","","0.536",""
"56"," Barbados","0.372","a","0.356","","0.347","","0.320","","0.314","","0.307","","0.296","","0.293","","0.295","","0.289","","0.283","","0.256",""
"50"," Belarus","..","","..","","..","","0.150","","0.149","","0.154","","0.153","","0.153","","0.153","","0.136","","0.129","","0.119",""
"17"," Belgium","0.162","a","0.122","","0.104","","0.091","","0.086","","0.081","","0.074","","0.063","","0.057","","0.053","","0.050","","0.045",""
"103"," Belize","0.515","a","0.481","","0.464","","0.425","","0.414","","0.398","","0.390","","0.387","","0.386","","0.384","","0.393","","0.391",""
"163"," Benin","0.682","a","0.678","","0.656","","0.623","","0.631","","0.626","","0.621","","0.617","","0.622","","0.618","","0.614","","0.613",""
"134"," Bhutan","..","","..","","..","","..","","..","","0.490","","0.530","","0.511","","0.495","","0.491","","0.484","","0.436",""
"114"," Bolivia (Plurinational State of)","..","","0.587","","0.557","","0.503","","0.498","","0.496","","0.490","","0.455","","0.456","","0.448","","0.448","","0.446",""
"75"," Bosnia and Herzegovina","..","","..","","..","","0.235","","0.211","","0.202","","0.194","","..","","0.177","","0.173","","0.167","","0.162",""
"94"," Botswana","0.575","a","0.531","","0.522","","0.503","","0.498","","0.494","","0.485","","0.472","","0.469","","0.467","","0.466","","0.464",""
"79"," Brazil","0.519","a","0.507","","0.470","","0.456","","0.450","","0.448","","0.430","","0.421","","0.413","","0.410","","0.404","","0.386",""
"43"," Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.276","","0.243","","0.234",""
"52"," Bulgaria","0.373","a","0.336","","0.253","","0.238","","0.236","","0.222","","0.224","","0.236","","0.234","","0.232","","0.220","","0.218",""
"182"," Burkina Faso","..","","..","","0.645","","0.619","","0.615","","0.609","","0.605","","..","","0.623","","0.621","","0.612","","0.612",""
"185"," Burundi","..","","0.622","","0.571","","0.544","","0.543","","0.539","","0.535","","0.531","","0.524","","0.523","","0.521","","0.520",""
"126"," Cabo Verde","..","","..","","..","","..","","..","","..","","..","","..","","0.378","","0.376","","0.374","","0.372",""
"146"," Cambodia","0.660","a","0.598","","0.561","","0.493","","0.488","","0.484","","0.481","","0.478","","0.476","","0.475","","0.476","","0.474",""
"150"," Cameroon","0.697","a","0.688","","0.657","","0.623","","0.620","","0.616","","0.582","","0.579","","0.577","","0.574","","0.572","","0.566",""
"13"," Canada","0.184","a","..","","0.133","","0.126","","0.118","","0.115","","0.113","","0.110","","0.108","","0.099","","0.092","","0.083",""
"188"," Central African Republic","0.742","a","0.710","","0.692","","0.688","","0.675","","0.673","","..","","..","","..","","0.693","","0.684","","0.682",""
"187"," Chad","..","","..","","..","","..","","..","","..","","..","","..","","0.707","","0.705","","0.710","","0.701",""
"42"," Chile","0.477","a","0.433","","0.383","","0.362","","0.357","","0.352","","0.337","","0.335","","0.333","","0.326","","..","","0.288",""
"85"," China","..","","0.268","","0.234","","0.192","","0.187","","0.182","","0.170","","0.167","","0.165","","0.164","","0.164","","0.163",""
"79"," Colombia","0.523","a","0.503","","0.492","","0.456","","0.441","","0.435","","0.436","","0.417","","0.413","","0.410","","0.411","","0.411",""
"138"," Congo","..","","0.616","","0.618","","0.613","","0.609","","0.607","","0.604","","0.593","","0.592","","0.590","","0.580","","0.579",""
"179"," Congo (Democratic Republic of the)","..","","..","","0.665","","0.679","","..","","0.674","","0.646","","0.655","","0.659","","0.656","","0.655","","0.655",""
"68"," Costa Rica","0.463","a","0.423","","0.345","","0.321","","0.318","","0.308","","0.304","","0.312","","0.308","","0.309","","0.303","","0.285",""
"46"," Croatia","0.279","a","0.206","","0.164","","0.146","","0.144","","0.139","","0.133","","0.127","","0.150","","0.158","","0.128","","0.122",""
"72"," Cuba","0.419","a","0.379","","0.341","","0.326","","0.323","","0.322","","0.319","","0.319","","0.320","","0.319","","0.318","","0.313",""
"31"," Cyprus","0.340","a","0.258","","0.140","","0.132","","0.139","","0.137","","0.134","","0.118","","0.114","","0.090","","0.087","","0.086",""
"26"," Czechia","0.252","a","..","","0.153","","0.135","","0.133","","0.133","","0.138","","0.139","","0.134","","0.135","","0.133","","0.137",""
"165"," C̫te d'Ivoire","0.706","a","..","","0.690","","0.679","","0.667","","0.667","","0.663","","0.664","","0.663","","0.660","","0.658","","0.657",""
"11"," Denmark","0.102","a","0.076","","0.064","","0.056","","0.052","","0.049","","0.046","","0.044","","0.044","","0.042","","0.041","","0.040",""
"89"," Dominican Republic","0.581","a","0.494","","0.478","","0.473","","0.497","","0.454","","0.489","","0.483","","0.473","","0.457","","0.454","","0.453",""
"85"," Ecuador","0.583","a","0.490","","0.458","","0.421","","0.425","","0.420","","0.407","","0.400","","0.393","","0.387","","0.390","","0.389",""
"116"," Egypt","0.665","a","0.636","","0.580","","..","","..","","0.576","","..","","..","","..","","0.452","","0.452","","0.450",""
"124"," El Salvador","0.527","a","0.521","","0.489","","0.442","","0.442","","0.418","","0.412","","0.407","","0.397","","0.394","","0.398","","0.397",""
"30"," Estonia","0.387","a","0.282","","0.213","","0.169","","0.173","","0.167","","0.162","","0.164","","0.144","","0.132","","0.110","","0.091",""
"138"," Eswatini (Kingdom of)","0.651","a","0.664","","0.621","","0.577","","0.571","","0.565","","0.583","","0.578","","0.574","","0.572","","0.571","","0.579",""
"173"," Ethiopia","..","","..","","0.614","","0.580","","0.574","","0.569","","0.558","","0.547","","0.519","","0.515","","0.512","","0.508",""
"98"," Fiji","0.494","a","..","","0.423","","..","","..","","..","","..","","0.366","","0.360","","0.365","","0.367","","0.357",""
"12"," Finland","0.101","a","0.085","","0.088","","0.077","","0.073","","0.070","","0.067","","0.065","","0.063","","0.059","","0.055","","0.050",""
"26"," France","0.199","a","0.172","","0.138","","0.107","","0.105","","0.091","","0.089","","0.087","","0.086","","0.080","","0.058","","0.051",""
"115"," Gabon","0.623","a","0.609","","0.586","","0.555","","0.554","","0.550","","0.548","","0.547","","0.543","","0.542","","0.537","","0.534",""
"174"," Gambia","0.756","a","0.748","","0.657","","0.665","","0.661","","0.657","","0.653","","0.640","","0.637","","0.633","","0.625","","0.620",""
"70"," Georgia","0.425","a","0.422","","0.388","","0.420","","0.419","","0.382","","0.380","","0.378","","0.378","","0.356","","0.354","","0.351",""
"4"," Germany","0.156","a","0.130","","0.117","","0.097","","0.093","","0.091","","0.083","","0.081","","0.076","","0.076","","0.084","","0.084",""
"142"," Ghana","0.628","a","..","","0.575","","0.574","","0.572","","..","","0.556","","0.556","","0.555","","0.553","","0.543","","0.541",""
"32"," Greece","0.284","a","0.221","","0.179","","0.157","","0.148","","0.136","","0.132","","0.127","","0.126","","0.122","","0.124","","0.122",""
"126"," Guatemala","0.585","a","0.596","","0.575","","0.539","","0.528","","0.520","","0.520","","0.502","","0.499","","0.492","","0.495","","0.492",""
"123"," Guyana","..","","0.544","","0.534","","0.523","","0.517","","0.514","","0.509","","0.506","","0.503","","0.500","","0.495","","0.492",""
"169"," Haiti","..","","..","","0.593","","..","","0.615","","0.621","","0.619","","0.617","","0.614","","0.765","","0.622","","0.620",""
"132"," Honduras","..","","0.550","","0.510","","0.520","","0.518","","0.513","","..","","0.480","","0.475","","0.473","","..","","0.479",""
"43"," Hungary","0.322","a","0.288","","0.260","","0.255","","0.262","","0.262","","0.263","","0.256","","0.261","","0.265","","0.270","","0.258",""
"6"," Iceland","0.184","a","0.148","","0.125","","0.099","","0.098","","0.093","","0.088","","0.083","","0.075","","0.064","","0.065","","0.057",""
"129"," India","0.696","a","..","","0.629","","0.600","","0.594","","0.589","","0.578","","0.563","","0.551","","0.538","","0.522","","0.501",""
"111"," Indonesia","0.580","a","0.561","","0.539","","0.486","","0.481","","0.475","","0.471","","0.472","","0.467","","0.464","","0.453","","0.451",""
"65"," Iran (Islamic Republic of)","0.661","a","0.596","","0.511","","0.529","","0.535","","0.532","","0.536","","0.539","","0.528","","0.484","","0.488","","0.492",""
"120"," Iraq","0.693","a","0.652","","..","","0.556","","0.556","","0.556","","0.553","","0.552","","0.549","","0.546","","0.544","","0.540",""
"3"," Ireland","0.203","a","0.198","","0.191","","0.170","","0.154","","0.148","","0.140","","0.135","","0.129","","0.109","","0.101","","0.093",""
"22"," Israel","0.244","a","0.197","","0.173","","0.149","","0.144","","0.140","","0.130","","0.127","","0.114","","0.110","","0.104","","0.100",""
"29"," Italy","0.198","a","0.178","","0.176","","0.125","","0.121","","0.116","","0.091","","0.087","","0.087","","0.084","","0.080","","0.069",""
"96"," Jamaica","0.479","a","0.470","","0.469","","0.455","","0.444","","0.440","","0.435","","0.427","","0.423","","0.412","","0.408","","0.405",""
"19"," Japan","0.156","a","0.135","","0.146","","0.121","","0.120","","0.129","","0.130","","0.127","","0.121","","0.108","","0.102","","0.099",""
"102"," Jordan","0.673","a","0.632","","0.560","","0.494","","0.497","","0.496","","0.494","","0.493","","0.493","","0.474","","0.471","","0.469",""
"50"," Kazakhstan","0.447","a","0.404","","0.360","","0.268","","0.257","","0.231","","0.221","","0.212","","0.212","","0.209","","0.204","","0.203",""
"147"," Kenya","0.706","a","0.695","","0.654","","0.614","","0.610","","0.606","","0.569","","0.564","","0.560","","0.557","","0.548","","0.545",""
"22"," Korea (Republic of)","0.277","a","0.191","","0.107","","0.098","","0.092","","0.083","","0.078","","0.072","","0.068","","0.063","","0.060","","0.058",""
"57"," Kuwait","0.577","a","0.576","","0.367","","0.215","","0.210","","0.220","","0.215","","0.310","","0.308","","0.286","","0.251","","0.245",""
"122"," Kyrgyzstan","0.512","a","0.476","","0.677","","0.365","","0.375","","0.377","","0.384","","0.384","","0.400","","0.396","","0.389","","0.381",""
"140"," Lao People's Democratic Republic","..","","0.580","","0.545","","0.510","","0.503","","0.495","","0.487","","0.480","","0.474","","0.466","","0.465","","0.463",""
"39"," Latvia","0.411","a","0.276","","0.217","","0.208","","0.205","","0.191","","0.188","","0.202","","0.199","","0.199","","0.208","","0.169",""
"93"," Lebanon","..","","..","","..","","0.412","","0.409","","0.407","","0.404","","0.405","","0.402","","0.399","","0.395","","0.362",""
"164"," Lesotho","0.577","a","0.589","","0.583","","0.565","","0.559","","0.552","","0.550","","0.547","","0.547","","0.541","","0.545","","0.546",""
"176"," Liberia","..","","0.690","","0.677","","0.660","","0.669","","0.663","","0.660","","0.657","","0.660","","0.658","","0.659","","0.651",""
"110"," Libya","..","","..","","0.300","","0.246","","..","","0.190","","0.182","","0.175","","0.174","","0.171","","0.173","","0.172",""
"34"," Lithuania","0.326","a","0.281","","0.185","","0.168","","0.171","","0.145","","0.142","","0.137","","0.133","","0.134","","0.129","","0.124",""
"21"," Luxembourg","0.200","a","0.175","","0.156","","0.132","","0.113","","0.115","","0.090","","0.084","","0.077","","0.072","","0.065","","0.078",""
"172"," Malawi","0.717","a","0.691","","0.654","","0.623","","0.616","","0.615","","0.614","","0.625","","0.624","","0.621","","0.618","","0.615",""
"61"," Malaysia","0.390","a","0.335","","0.324","","0.309","","0.309","","0.302","","0.291","","0.283","","0.286","","0.287","","0.286","","0.274",""
"104"," Maldives","0.649","a","0.536","","0.431","","0.424","","0.412","","0.401","","0.388","","0.387","","0.384","","0.380","","0.375","","0.367",""
"184"," Mali","0.711","a","0.709","","0.707","","0.669","","0.673","","0.674","","..","","0.677","","0.678","","0.678","","0.677","","0.676",""
"28"," Malta","0.334","a","0.320","","0.305","","0.272","","0.265","","0.254","","0.204","","0.196","","0.197","","0.195","","0.197","","0.195",""
"161"," Mauritania","0.807","a","0.755","","..","","0.656","","0.652","","0.647","","..","","0.629","","0.625","","0.622","","0.612","","0.620",""
"66"," Mauritius","0.479","a","0.453","","0.369","","0.382","","0.370","","0.371","","0.363","","0.358","","0.379","","0.377","","0.373","","0.369",""
"76"," Mexico","0.512","a","0.492","","0.430","","0.401","","0.393","","0.370","","0.366","","0.361","","0.352","","0.349","","0.346","","0.334",""
"107"," Moldova (Republic of)","0.479","a","0.420","","0.295","","0.286","","0.258","","0.259","","0.253","","0.258","","0.240","","0.237","","0.232","","0.228",""
