"HDI Rank","Country","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"92"," Mongolia","0.502","a","0.452","","0.412","","0.406","","0.406","","0.318","","0.317","","0.317","","0.321","","0.314","","0.318","","0.322",""
"52"," Montenegro","..","","..","","..","","0.216","","0.203","","0.176","","0.175","","0.165","","0.159","","0.135","","0.128","","0.119",""
"121"," Morocco","0.721","a","0.706","","0.586","","0.564","","0.533","","0.530","","0.526","","0.525","","0.504","","0.494","","0.494","","0.492",""
"180"," Mozambique","..","","0.634","","0.623","","0.605","","0.598","","0.590","","0.583","","..","","0.572","","0.572","","0.570","","0.569",""
"145"," Myanmar","..","","..","","..","","0.517","","0.533","","0.507","","0.505","","0.507","","0.443","","0.458","","0.460","","0.459",""
"130"," Namibia","0.548","a","0.545","","0.527","","0.514","","0.512","","0.508","","0.500","","..","","0.477","","0.475","","0.470","","0.460",""
"147"," Nepal","0.709","a","0.669","","0.651","","0.534","","0.525","","0.516","","..","","0.506","","0.499","","0.494","","0.488","","0.476",""
"10"," Netherlands","0.114","a","0.096","","0.083","","0.054","","0.051","","0.051","","0.049","","0.048","","0.048","","0.045","","0.044","","0.041",""
"14"," New Zealand","0.222","a","0.190","","0.188","","0.186","","0.179","","0.174","","0.170","","0.164","","0.156","","0.152","","0.137","","0.133",""
"126"," Nicaragua","0.629","a","0.606","","0.542","","0.520","","0.479","","0.482","","0.479","","0.472","","0.469","","0.461","","0.458","","0.455",""
"189"," Niger","0.801","a","0.797","","0.701","","..","","0.683","","0.679","","0.674","","0.669","","0.667","","0.659","","0.649","","0.647",""
"82"," North Macedonia","..","","..","","..","","..","","..","","..","","..","","..","","0.162","","0.161","","0.150","","0.145",""
"1"," Norway","0.121","a","0.108","","0.085","","0.075","","0.071","","0.067","","0.062","","0.058","","0.054","","0.051","","0.047","","0.044",""
"47"," Oman","..","","..","","0.391","","0.328","","0.321","","0.319","","0.317","","0.314","","0.317","","0.311","","0.307","","0.304",""
"152"," Pakistan","0.768","a","..","","0.604","","0.578","","0.577","","0.563","","0.563","","0.557","","0.551","","0.550","","0.549","","0.547",""
"67"," Panama","0.521","a","0.506","","0.475","","0.520","","0.523","","0.519","","0.515","","0.469","","0.467","","0.465","","0.462","","0.460",""
"155"," Papua New Guinea","0.673","a","0.666","","0.682","","0.667","","0.663","","0.607","","0.604","","0.600","","0.597","","0.594","","0.742","","0.740",""
"98"," Paraguay","0.572","a","0.552","","0.541","","0.511","","0.508","","0.498","","0.479","","0.484","","0.482","","0.483","","0.485","","0.482",""
"82"," Peru","0.555","a","..","","0.461","","0.421","","0.427","","0.415","","0.410","","0.405","","0.402","","0.385","","0.383","","0.381",""
"106"," Philippines","0.480","a","0.476","","0.467","","0.449","","0.446","","0.447","","0.433","","0.430","","0.430","","0.424","","0.427","","0.425",""
"32"," Poland","0.258","a","0.205","","0.164","","0.170","","0.156","","0.154","","0.153","","0.149","","0.142","","0.136","","0.128","","0.120",""
"40"," Portugal","0.244","a","0.209","","0.183","","0.141","","0.129","","0.130","","0.115","","0.110","","0.099","","0.094","","0.088","","0.081",""
"41"," Qatar","..","","..","","..","","0.580","","0.555","","0.552","","0.551","","0.543","","0.539","","0.537","","0.209","","0.202",""
"52"," Romania","0.471","a","..","","0.352","","0.365","","0.362","","0.349","","0.350","","0.347","","0.346","","0.346","","0.316","","0.316",""
"49"," Russian Federation","0.467","a","0.423","","0.359","","0.316","","0.311","","0.300","","0.296","","0.294","","0.280","","0.278","","0.262","","0.255",""
"157"," Rwanda","0.583","a","0.554","","0.487","","0.446","","0.440","","0.435","","0.424","","0.420","","0.415","","0.413","","0.412","","0.412",""
"89"," Saint Lucia","..","","..","","..","","..","","..","","..","","0.356","","0.355","","0.341","","0.339","","0.336","","0.333",""
"111"," Samoa","..","","0.471","","0.459","","0.418","","0.455","","0.451","","0.445","","0.413","","0.409","","0.374","","0.369","","0.364",""
"137"," Sao Tome and Principe","..","","..","","..","","0.548","","0.546","","0.546","","0.544","","0.542","","0.540","","0.538","","0.536","","0.547",""
"36"," Saudi Arabia","..","","..","","0.671","","0.633","","0.623","","0.621","","0.271","","0.265","","0.254","","0.241","","0.232","","0.224",""
"166"," Senegal","0.646","a","0.641","","0.628","","0.583","","0.578","","0.550","","0.542","","0.535","","0.531","","0.528","","0.524","","0.523",""
"63"," Serbia","..","","..","","..","","0.221","","0.218","","0.189","","0.190","","0.186","","0.184","","0.176","","0.168","","0.162",""
"181"," Sierra Leone","..","","0.696","","0.670","","0.665","","0.662","","0.660","","0.657","","0.655","","0.653","","0.649","","0.646","","0.644",""
"9"," Singapore","0.250","a","0.274","","0.168","","0.099","","0.102","","0.092","","0.083","","0.070","","0.068","","0.066","","0.066","","0.065",""
"36"," Slovakia","0.248","a","0.219","","0.189","","0.195","","0.194","","0.185","","0.186","","0.186","","0.186","","0.184","","0.187","","0.190",""
"24"," Slovenia","0.246","a","..","","0.139","","0.126","","0.077","","0.072","","0.072","","0.065","","0.063","","0.058","","0.053","","0.069",""
"113"," South Africa","0.422","a","0.416","","0.421","","0.432","","0.433","","0.433","","0.430","","0.428","","0.427","","0.426","","0.424","","0.422",""
"25"," Spain","0.157","a","0.119","","0.117","","0.115","","0.109","","0.103","","0.098","","0.090","","0.084","","0.080","","0.077","","0.074",""
"71"," Sri Lanka","0.471","a","..","","0.439","","0.408","","0.398","","0.400","","0.392","","0.390","","0.398","","0.384","","0.381","","0.380",""
"168"," Sudan","0.720","a","..","","0.666","","0.625","","0.618","","0.612","","0.605","","0.599","","0.579","","0.573","","0.566","","0.560",""
"98"," Suriname","..","","..","","0.517","","0.534","","0.517","","0.514","","0.514","","0.511","","0.468","","0.469","","0.467","","0.465",""
"8"," Sweden","0.090","a","0.061","","0.052","","0.050","","0.049","","0.048","","0.047","","0.046","","0.045","","0.044","","0.043","","0.040",""
"2"," Switzerland","0.117","a","0.094","","0.073","","0.062","","0.061","","0.058","","0.052","","0.049","","0.047","","0.043","","0.040","","0.037",""
"154"," Syrian Arab Republic","0.569","a","0.548","","0.544","","0.549","","0.551","","0.555","","0.558","","0.560","","0.559","","0.551","","0.547","","0.547",""
"125"," Tajikistan","0.583","a","0.438","","0.376","","0.367","","0.370","","0.371","","0.373","","0.382","","0.384","","0.370","","0.374","","0.377",""
"159"," Tanzania (United Republic of)","0.653","a","..","","0.594","","..","","0.562","","0.558","","0.553","","0.549","","0.544","","0.541","","0.539","","0.539",""
"77"," Thailand","0.400","a","0.397","","0.348","","0.319","","0.309","","0.313","","0.314","","0.380","","0.378","","0.374","","0.386","","0.377",""
"167"," Togo","0.736","a","0.663","","0.633","","0.607","","0.605","","0.602","","0.583","","0.573","","0.573","","0.570","","0.567","","0.566",""
"105"," Tonga","0.683","a","0.677","","0.488","","0.681","","0.485","","0.484","","0.480","","0.674","","0.672","","0.670","","0.419","","0.418",""
"63"," Trinidad and Tobago","0.426","a","..","","0.353","","0.354","","0.352","","0.349","","0.348","","0.348","","0.334","","0.328","","0.327","","0.324",""
"91"," Tunisia","0.530","a","0.429","","0.339","","0.313","","0.306","","0.304","","0.305","","0.295","","0.297","","0.298","","0.299","","0.300",""
"59"," Turkey","0.631","a","0.591","","0.564","","0.425","","0.381","","0.367","","0.354","","0.347","","0.333","","0.326","","0.321","","0.305",""
"159"," Uganda","0.652","a","0.647","","0.597","","0.569","","0.558","","0.552","","0.546","","0.541","","0.536","","0.536","","0.532","","0.531",""
"88"," Ukraine","0.480","a","0.385","","0.372","","0.337","","0.333","","0.322","","0.316","","0.302","","0.298","","0.294","","0.289","","0.284",""
"35"," United Arab Emirates","0.644","a","0.609","","0.592","","0.231","","0.237","","0.227","","0.216","","0.205","","0.178","","0.160","","0.138","","0.113",""
"15"," United Kingdom","0.237","a","0.215","","0.206","","0.183","","0.176","","0.172","","0.167","","0.161","","0.146","","0.138","","0.128","","0.119",""
"15"," United States","0.305","a","..","","0.263","","0.254","","0.250","","0.240","","0.235","","0.225","","0.219","","0.211","","0.202","","0.182",""
"57"," Uruguay","0.438","a","0.389","","0.375","","0.327","","0.326","","0.321","","0.323","","0.320","","0.288","","0.286","","0.276","","0.275",""
"108"," Uzbekistan","..","","..","","..","","..","","..","","..","","0.287","","0.291","","0.303","","0.303","","0.303","","0.303",""
"96"," Venezuela (Bolivarian Republic of)","0.537","a","..","","0.475","","0.475","","0.474","","0.473","","0.472","","0.471","","0.470","","0.481","","0.459","","0.458",""
"118"," Viet Nam","0.382","a","0.347","","0.317","","0.324","","0.328","","0.329","","0.329","","0.330","","0.333","","0.323","","0.318","","0.314",""
"177"," Yemen","..","","0.818","","0.813","","0.821","","0.823","","0.826","","0.829","","0.831","","0.841","","0.837","","0.835","","0.834",""
"143"," Zambia","0.644","a","0.653","","0.620","","0.587","","0.592","","0.588","","0.585","","0.584","","0.571","","0.548","","0.543","","0.540",""
"150"," Zimbabwe","0.595","a","0.627","","0.588","","0.578","","0.572","","0.567","","0.530","","0.534","","0.540","","0.535","","0.528","","0.525",""
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"156"," Comoros","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"171"," Djibouti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98"," Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"182"," Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"135"," Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"174"," Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"178"," Guinea-Bissau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"144"," Equatorial Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"78"," Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"4"," Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"132"," Kiribati","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"73"," Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"18"," Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"162"," Madagascar","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"117"," Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"158"," Nigeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"55"," Palau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"119"," Palestine, State of","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"153"," Solomon Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"186"," South Sudan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"62"," Seychelles","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"108"," Turkmenistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"131"," Timor-Leste","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94"," Saint Vincent and the Grenadines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"141"," Vanuatu","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","0.330","","0.290","","0.256","","0.228","","0.220","","0.214","","0.206","","0.201","","0.196","","0.189","","0.181","","0.175",""
" ","High human development","..","","0.422","","0.389","","0.364","","0.359","","0.354","","0.344","","0.340","","0.337","","0.335","","0.334","","0.331",""
" ","Medium human development","0.674","","..","","0.597","","0.562","","0.557","","0.550","","0.544","","0.533","","0.522","","0.514","","0.507","","0.501",""
" ","Low human development","..","","..","","0.643","","0.625","","0.616","","0.614","","0.605","","0.606","","0.598","","0.594","","0.591","","0.590",""
" ","Developing Countries","..","","0.555","","0.524","","0.501","","0.496","","0.491","","0.485","","0.480","","0.475","","0.472","","0.469","","0.466",""
"","Regions"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","0.684","","0.662","","0.615","","0.577","","0.572","","0.562","","0.550","","0.547","","0.540","","0.535","","0.534","","0.531",""
" ","East Asia and the Pacific","..","","0.376","","0.348","","0.331","","0.330","","0.327","","0.320","","0.318","","0.313","","0.312","","0.312","","0.310",""
" ","Europe and Central Asia","0.488","","0.444","","0.381","","0.319","","0.311","","0.301","","0.296","","0.292","","0.290","","0.284","","0.279","","0.276",""
" ","Latin America and the Caribbean","0.510","","0.486","","0.450","","0.429","","0.424","","0.417","","0.408","","0.402","","0.397","","0.393","","0.389","","0.383",""
" ","South Asia","0.704","","..","","0.612","","0.572","","0.567","","0.562","","0.566","","0.546","","0.538","","0.529","","0.518","","0.515",""
" ","Sub-Saharan Africa","..","","..","","0.619","","0.601","","0.593","","0.592","","0.584","","0.584","","0.579","","0.576","","0.573","","0.572",""
" ","Least Developed Countries","..","","..","","0.622","","0.596","","0.589","","0.584","","0.579","","0.576","","0.567","","0.566","","0.563","","0.561",""
" ","Small Island Developing States","..","","..","","..","","0.474","","0.472","","0.466","","0.465","","0.463","","0.459","","0.457","","0.456","","0.452",""
" ","Organization for Economic Co-operation and Development","0.314","","0.291","","0.260","","0.234","","0.226","","0.220","","0.213","","0.207","","0.201","","0.195","","0.189","","0.182",""
" ","World","0.547","","0.521","","0.493","","0.473","","0.467","","0.463","","0.457","","0.454","","0.449","","0.446","","0.442","","0.439",""
"a: Uses 'Share of seats in parliament' that refers to 1997."
""